Year,Rank,Name,Prize Money,Players/Tournaments
2013,39.,Indonesia,"$22,000.00",20 Players
2013,40.,Armenia,"$17,287.45",2 Players
2013,41.,Macao,"$16,213.62",1 Player
2013,42.,Romania,"$15,884.02",28 Players
2013,43.,Morocco,"$15,800.47",6 Players
2013,44.,Serbia,"$15,034.13",22 Players
2013,45.,Switzerland,"$13,925.27",14 Players
2013,46.,Argentina,"$13,522.94",14 Players
2013,47.,Greece,"$12,994.95",23 Players
2013,48.,Peru,"$12,179.66",18 Players
2013,49.,Venezuela,"$11,465.16",10 Players
2013,50.,"Iran, Islamic Republic of","$11,035.88",5 Players
2013,51.,Austria,"$10,173.00",16 Players
2013,52.,Slovakia,"$9,532.80",26 Players
2013,53.,Portugal,"$8,893.51",40 Players
2013,54.,Croatia,"$8,767.97",10 Players
2013,55.,Azerbaijan,"$7,900.00",11 Players
2013,56.,Hungary,"$6,812.06",29 Players
2013,57.,Uruguay,"$6,000.00",1 Player
2013,58.,Chile,"$5,948.79",12 Players
2013,59.,Bosnia and Herzegovina,"$5,061.94",5 Players
2013,60.,"Moldova, Republic of","$4,008.57",3 Players
2013,61.,Slovenia,"$3,807.28",9 Players
2013,62.,Puerto Rico,"$3,538.10",2 Players
2013,63.,New Zealand,"$3,527.05",4 Players
2013,64.,Cuba,"$3,000.00",1 Player
2013,65.,Malta,"$2,536.00",33 Players
2013,66.,Kuwait,"$2,000.00",5 Players
2013,67.,Åland Islands,"$1,477.38",13 Players
2013,68.,Latvia,"$1,283.83",3 Players
2013,69.,United Arab Emirates,"$1,200.00",2 Players
2013,70.,Iceland,$820.90,7 Players
2013,71.,Jordan,$800.00,4 Players
2013,72.,India,$775.00,1 Player
2013,73.,Paraguay,$600.00,1 Player
2013,74.,North Macedonia,$550.00,5 Players
2013,75.,Costa Rica,$400.00,1 Player
2013,76.,Saudi Arabia,$255.00,1 Player
2013,77.,Albania,$216.77,1 Player
2013,78.,Faroe Islands,$40.00,1 Player
2014,1.,China,"$12,359,890.83",446 Players
2014,2.,"Korea, Republic of","$5,708,449.54",510 Players
2014,3.,United States,"$4,029,712.91",1797 Players
2014,4.,Sweden,"$2,133,514.58",367 Players
2014,5.,Canada,"$1,427,151.96",255 Players
2014,6.,Russian Federation,"$1,203,386.91",330 Players
2014,7.,Ukraine,"$1,005,724.64",96 Players
2014,8.,Germany,"$896,766.04",389 Players
2014,9.,"Taiwan, Republic of China","$797,188.57",121 Players
2014,10.,France,"$673,145.55",363 Players
2014,11.,Denmark,"$669,605.85",190 Players
2014,12.,Malaysia,"$583,502.28",68 Players
2014,13.,Poland,"$463,108.47",195 Players
2014,14.,Singapore,"$437,998.88",64 Players
2014,15.,Netherlands,"$359,262.43",108 Players
2014,16.,United Kingdom,"$309,109.19",316 Players
2014,17.,Romania,"$308,106.44",56 Players
2014,18.,Australia,"$251,144.53",135 Players
2014,19.,Thailand,"$242,936.83",115 Players
2014,20.,Brazil,"$242,618.15",157 Players
2014,21.,Finland,"$237,887.80",202 Players
2014,22.,Estonia,"$229,422.58",18 Players
2014,23.,Norway,"$198,037.00",85 Players
2014,24.,Spain,"$193,625.17",163 Players
2014,25.,Japan,"$166,111.30",99 Players
2014,26.,Philippines,"$152,844.19",64 Players
2014,27.,Macao,"$149,017.41",2 Players
2014,28.,Turkey,"$143,983.93",64 Players
2014,29.,Viet Nam,"$134,689.85",101 Players
2014,30.,Hong Kong,"$125,949.44",53 Players
2014,31.,Mexico,"$97,489.81",27 Players
2014,32.,Belarus,"$95,633.61",31 Players
2014,33.,Israel,"$64,975.19",10 Players
2014,34.,Belgium,"$62,153.69",58 Players
2014,35.,Argentina,"$56,007.12",36 Players
2014,36.,Greece,"$52,555.15",69 Players
2014,37.,Peru,"$43,229.50",17 Players
2014,38.,Chile,"$39,469.83",34 Players
2014,39.,Hungary,"$35,584.65",33 Players
2014,40.,Slovakia,"$34,674.33",32 Players
2014,41.,Czech Republic,"$34,419.75",56 Players
2014,42.,Kazakhstan,"$30,581.57",35 Players
2014,43.,"Moldova, Republic of","$28,639.52",3 Players
2014,44.,Morocco,"$23,822.38",3 Players
2014,45.,Austria,"$23,074.72",26 Players
2014,46.,Italy,"$21,453.36",42 Players
2014,47.,Portugal,"$21,327.72",59 Players
2014,48.,Switzerland,"$18,331.49",17 Players
2014,49.,Uruguay,"$17,257.19",3 Players
2014,50.,Bulgaria,"$17,156.36",39 Players
2014,51.,Venezuela,"$16,935.35",13 Players
2014,52.,Indonesia,"$16,893.12",24 Players
2014,53.,Ireland,"$14,434.81",11 Players
2014,54.,Serbia,"$13,339.07",18 Players
2014,55.,New Zealand,"$11,895.00",15 Players
2014,56.,Colombia,"$9,800.00",11 Players
2014,57.,Lithuania,"$9,591.14",38 Players
2014,58.,Croatia,"$9,467.73",31 Players
2014,59.,Slovenia,"$7,466.79",13 Players
2014,60.,Armenia,"$5,300.00",1 Player
2014,61.,Tunisia,"$5,137.02",2 Players
2014,62.,Latvia,"$4,694.70",10 Players
2014,63.,Malta,"$4,612.88",48 Players
2014,64.,South Africa,"$4,270.20",30 Players
2014,65.,"Iran, Islamic Republic of","$4,128.87",2 Players
2014,66.,Bolivia,"$3,911.60",1 Player
2014,67.,Iceland,"$3,834.31",7 Players
2014,68.,Azerbaijan,"$3,700.00",7 Players
2014,69.,Bosnia and Herzegovina,"$3,501.46",7 Players
2014,70.,Costa Rica,"$3,500.00",1 Player
2014,71.,Panama,"$3,500.00",1 Player
2014,72.,Cuba,"$3,400.00",2 Players
2014,73.,Iraq,"$2,600.00",1 Player
2014,74.,India,"$2,152.27",9 Players
2014,75.,Puerto Rico,"$2,102.07",2 Players
2014,76.,Mongolia,"$1,274.00",2 Players
2014,77.,Ecuador,"$1,200.00",1 Player
2014,78.,Saudi Arabia,$981.33,2 Players
2014,79.,Lao People's Democratic Republic,$779.04,1 Player
2014,80.,Georgia,$750.00,2 Players
2014,81.,Afghanistan,$632.46,2 Players
2014,82.,Albania,$527.07,3 Players
2014,83.,Luxembourg,$411.45,3 Players
2014,84.,Bahrain,$373.34,1 Player
2014,85.,North Macedonia,$227.10,1 Player
2014,86.,Montenegro,$187.05,5 Players
2014,87.,Brunei Darussalam,$91.60,5 Players
2014,88.,Cyprus,$31.15,1 Player
2015,1.,China,"$14,654,719.30",755 Players
2015,2.,United States,"$13,198,385.88",2762 Players
2015,3.,"Korea, Republic of","$6,714,901.04",617 Players
2015,4.,Sweden,"$4,027,252.62",522 Players
2015,5.,Canada,"$3,726,131.35",457 Players
2015,6.,Denmark,"$2,266,478.69",287 Players
2015,7.,Russian Federation,"$2,109,925.75",676 Players
2015,8.,Ukraine,"$2,025,927.41",169 Players
2015,9.,Pakistan,"$1,731,607.74",2 Players
2015,10.,Germany,"$1,728,661.73",740 Players
2015,11.,France,"$1,452,827.12",574 Players
2015,12.,United Kingdom,"$1,005,525.63",576 Players
2015,13.,Poland,"$954,426.67",361 Players
2015,14.,Singapore,"$861,627.31",121 Players
2015,15.,"Taiwan, Republic of China","$680,553.66",105 Players
2015,16.,Japan,"$617,881.36",179 Players
2015,17.,Brazil,"$559,948.84",504 Players
2015,18.,Malaysia,"$514,344.84",128 Players
2015,19.,Australia,"$507,672.81",326 Players
2015,20.,Estonia,"$479,092.36",46 Players
2015,21.,Belarus,"$468,623.04",39 Players
2015,22.,Thailand,"$467,952.88",194 Players
2015,23.,Netherlands,"$457,800.03",207 Players
2015,24.,Romania,"$374,350.91",75 Players
2015,25.,Finland,"$359,220.14",236 Players
2015,26.,Spain,"$356,988.54",308 Players
2015,27.,Philippines,"$336,329.36",113 Players
2015,28.,Macao,"$319,566.58",1 Player
2015,29.,Israel,"$306,483.00",25 Players
2015,30.,Norway,"$270,008.73",130 Players
2015,31.,Jordan,"$254,906.87",16 Players
2015,32.,Viet Nam,"$254,476.45",141 Players
2015,33.,Bulgaria,"$169,266.53",98 Players
2015,34.,Portugal,"$152,484.84",132 Players
2015,35.,Slovakia,"$132,579.52",48 Players
2015,36.,Mexico,"$114,904.25",49 Players
2015,37.,Belgium,"$113,820.40",81 Players
2015,38.,Greece,"$112,868.33",96 Players
2015,39.,Chile,"$109,471.73",52 Players
2015,40.,Hong Kong,"$103,969.03",49 Players
2015,41.,Peru,"$93,616.69",36 Players
2015,42.,Czech Republic,"$88,737.31",112 Players
2015,43.,Argentina,"$88,454.82",98 Players
2015,44.,Italy,"$76,764.58",79 Players
2015,45.,Kazakhstan,"$65,086.28",49 Players
2015,46.,Serbia,"$64,830.58",81 Players
2015,47.,Indonesia,"$63,772.29",55 Players
2015,48.,Saudi Arabia,"$60,388.07",7 Players
2015,49.,Turkey,"$58,036.61",78 Players
2015,50.,Hungary,"$49,990.43",103 Players
2015,51.,Slovenia,"$45,793.67",22 Players
2015,52.,Croatia,"$38,246.98",31 Players
2015,53.,New Zealand,"$38,203.26",27 Players
2015,54.,South Africa,"$36,129.83",170 Players
2015,55.,Switzerland,"$30,116.40",38 Players
2015,56.,Venezuela,"$29,258.45",13 Players
2015,57.,Bosnia and Herzegovina,"$27,183.45",16 Players
2015,58.,Austria,"$24,828.04",46 Players
2015,59.,Ireland,"$22,929.71",27 Players
2015,60.,"Moldova, Republic of","$21,612.81",5 Players
2015,61.,North Macedonia,"$19,974.49",4 Players
2015,62.,Kuwait,"$18,134.14",11 Players
2015,63.,Iraq,"$15,031.98",5 Players
2015,64.,Puerto Rico,"$11,369.50",6 Players
2015,65.,Sri Lanka,"$10,572.47",1 Player
2015,66.,India,"$10,370.52",75 Players
2015,67.,Lithuania,"$9,569.88",49 Players
2015,68.,Latvia,"$8,092.48",37 Players
2015,69.,Lebanon,"$7,858.45",7 Players
2015,70.,Colombia,"$7,309.38",6 Players
2015,71.,Bolivia,"$6,529.60",2 Players
2015,72.,Afghanistan,"$6,126.51",1 Player
2015,73.,United Arab Emirates,"$5,935.74",15 Players
2015,74.,Algeria,"$5,915.70",6 Players
2015,75.,Malta,"$5,370.28",50 Players
2015,76.,Iceland,"$4,992.93",25 Players
2015,77.,Kyrgyzstan,"$4,522.39",10 Players
2015,78.,Cuba,"$3,194.90",3 Players
2015,79.,Uruguay,"$3,012.01",2 Players
2015,80.,Azerbaijan,"$2,985.35",8 Players
2015,81.,Mongolia,"$2,852.56",8 Players
2015,82.,Nicaragua,"$2,584.55",1 Player
2015,83.,Georgia,"$1,613.61",2 Players
2015,84.,"Iran, Islamic Republic of","$1,394.00",6 Players
2015,85.,Morocco,"$1,309.41",6 Players
2015,86.,Bahrain,"$1,289.10",1 Player
2015,87.,Tunisia,$785.94,7 Players
2015,88.,Armenia,$596.44,3 Players
2015,89.,Brunei Darussalam,$495.90,5 Players
2015,90.,Egypt,$444.53,6 Players
2015,91.,Dominican Republic,$275.60,1 Player
2015,92.,Lao People's Democratic Republic,$140.55,1 Player
2015,93.,Albania,$137.56,1 Player
2015,94.,Luxembourg,$108.17,2 Players
2015,95.,Cyprus,$107.21,1 Player
2015,96.,Montenegro,$100.01,1 Player
2015,97.,Uzbekistan,$59.17,2 Players
2015,98.,Faroe Islands,$54.01,1 Player
2015,99.,Panama,$47.50,1 Player
2015,100.,Ecuador,$37.50,1 Player
2015,101.,Jamaica,$30.00,1 Player
2015,102.,Liechtenstein,$28.47,1 Player
2015,103.,Maldives,$0.00,1 Player
2016,1.,China,"$20,879,447.39",1282 Players
2016,2.,United States,"$15,561,880.28",3353 Players
2016,3.,"Korea, Republic of","$12,857,622.58",919 Players
2016,4.,Sweden,"$5,372,357.10",598 Players
2016,5.,Denmark,"$4,571,803.24",329 Players
2016,6.,Canada,"$3,238,655.42",519 Players
2016,7.,Brazil,"$2,854,296.68",502 Players
2016,8.,Ukraine,"$2,485,614.47",121 Players
2016,9.,Germany,"$2,465,238.60",667 Players
2016,10.,Russian Federation,"$2,350,194.86",539 Players
2016,11.,France,"$2,150,302.34",648 Players
2016,12.,Malaysia,"$2,147,110.88",119 Players
2016,13.,United Kingdom,"$2,082,001.36",652 Players
2016,14.,Poland,"$1,762,279.26",371 Players
2016,15.,Australia,"$1,506,041.13",517 Players
2016,16.,Finland,"$1,472,955.34",309 Players
2016,17.,Philippines,"$1,229,602.86",149 Players
2016,18.,Romania,"$1,169,965.93",78 Players
2016,19.,"Taiwan, Republic of China","$928,843.75",215 Players
2016,20.,North Macedonia,"$758,973.40",1 Player
2016,21.,Pakistan,"$659,729.80",2 Players
2016,22.,Greece,"$650,883.91",45 Players
2016,23.,Israel,"$602,480.37",27 Players
2016,24.,Norway,"$601,677.62",203 Players
2016,25.,Spain,"$600,928.76",332 Players
2016,26.,Bulgaria,"$556,079.62",70 Players
2016,27.,Netherlands,"$542,057.44",206 Players
2016,28.,Thailand,"$540,305.61",203 Players
2016,29.,Singapore,"$477,434.68",94 Players
2016,30.,Japan,"$471,678.23",211 Players
2016,31.,Jordan,"$461,023.45",17 Players
2016,32.,Estonia,"$332,541.03",42 Players
2016,33.,Turkey,"$278,569.58",131 Players
2016,34.,Slovakia,"$258,527.22",60 Players
2016,35.,Kazakhstan,"$240,024.16",25 Players
2016,36.,Belgium,"$235,382.40",92 Players
2016,37.,Viet Nam,"$227,674.74",149 Players
2016,38.,Hong Kong,"$196,306.49",60 Players
2016,39.,New Zealand,"$169,383.43",52 Players
2016,40.,Mexico,"$157,603.82",73 Players
2016,41.,Czech Republic,"$153,321.26",136 Players
2016,42.,South Africa,"$150,501.19",122 Players
2016,43.,Italy,"$143,543.43",106 Players
2016,44.,Macao,"$141,875.60",2 Players
2016,45.,Portugal,"$137,183.85",168 Players
2016,46.,Saudi Arabia,"$112,904.65",11 Players
2016,47.,Peru,"$111,582.37",50 Players
2016,48.,Belarus,"$108,323.03",36 Players
2016,49.,Mongolia,"$95,390.38",16 Players
2016,50.,Chile,"$94,889.50",85 Players
2016,51.,Colombia,"$88,053.77",30 Players
2016,52.,Indonesia,"$84,851.65",67 Players
2016,53.,Argentina,"$84,577.02",101 Players
2016,54.,Bosnia and Herzegovina,"$83,513.39",9 Players
2016,55.,Hungary,"$62,595.11",72 Players
2016,56.,Lithuania,"$57,864.03",46 Players
2016,57.,Croatia,"$57,704.87",32 Players
2016,58.,Ireland,"$55,174.83",25 Players
2016,59.,India,"$53,759.16",143 Players
2016,60.,Slovenia,"$53,070.17",23 Players
2016,61.,Serbia,"$50,912.21",49 Players
2016,62.,Austria,"$32,791.93",62 Players
2016,63.,Latvia,"$31,641.63",44 Players
2016,64.,Lebanon,"$29,383.32",14 Players
2016,65.,United Arab Emirates,"$28,525.73",26 Players
2016,66.,Puerto Rico,"$28,093.20",6 Players
2016,67.,Switzerland,"$26,618.28",49 Players
2016,68.,Kyrgyzstan,"$23,139.68",9 Players
2016,69.,Iceland,"$16,984.89",41 Players
2016,70.,Venezuela,"$15,312.23",23 Players
2016,71.,Bahrain,"$14,827.85",1 Player
2016,72.,Malta,"$12,648.30",81 Players
2016,73.,Egypt,"$12,098.50",12 Players
2016,74.,Montenegro,"$11,900.00",1 Player
2016,75.,"Moldova, Republic of","$11,831.56",5 Players
2016,76.,Cuba,"$10,103.57",3 Players
2016,77.,Algeria,"$9,413.65",16 Players
2016,78.,Armenia,"$8,356.08",6 Players
2016,79.,Bolivia,"$7,838.32",3 Players
2016,80.,Dominican Republic,"$7,764.00",3 Players
2016,81.,Iraq,"$6,461.66",2 Players
2016,82.,Morocco,"$6,060.16",4 Players
2016,83.,Azerbaijan,"$5,858.27",8 Players
2016,84.,Nicaragua,"$5,778.79",1 Player
2016,85.,Georgia,"$5,383.31",8 Players
2016,86.,Uruguay,"$4,869.00",16 Players
2016,87.,Kuwait,"$4,735.75",4 Players
2016,88.,Albania,"$4,450.00",1 Player
2016,89.,Cambodia,"$3,507.25",5 Players
2016,90.,Panama,"$3,390.73",1 Player
2016,91.,Ecuador,"$3,182.55",6 Players
2016,92.,Syrian Arab Republic,"$2,696.85",2 Players
2016,93.,Tunisia,"$2,334.94",6 Players
2016,94.,Bangladesh,"$1,481.31",12 Players
2016,95.,Nepal,"$1,111.40",10 Players
2016,96.,Kenya,$907.56,1 Player
2016,97.,"Kosovo, Republic of",$795.29,1 Player
2016,98.,Sri Lanka,$438.50,1 Player
2016,99.,Costa Rica,$417.26,3 Players
2016,100.,Lao People's Democratic Republic,$305.98,1 Player
2016,101.,Guatemala,$224.00,1 Player
2016,102.,French Polynesia,$200.63,1 Player
2016,103.,Uzbekistan,$167.00,1 Player
2016,104.,Luxembourg,$154.87,1 Player
2016,105.,Andorra,$151.93,2 Players
2016,106.,Cyprus,$90.00,1 Player
2016,107.,Faroe Islands,$85.00,2 Players
2016,108.,Saint Martin,$50.00,1 Player
2016,109.,Paraguay,$20.65,1 Player
2016,110.,"Palestine, State of",$20.00,1 Player
2016,111.,Mauritius,$10.71,1 Player
2017,1.,China,"$18,689,416.67",1434 Players
2017,2.,United States,"$15,556,209.19",3454 Players
2017,3.,"Korea, Republic of","$12,241,944.38",978 Players
2017,4.,Denmark,"$5,039,320.10",386 Players
2017,5.,Germany,"$4,904,550.58",794 Players
2017,6.,Sweden,"$4,821,342.97",633 Players
2017,7.,Finland,"$4,011,913.40",371 Players
2017,8.,France,"$3,878,051.38",827 Players
2017,9.,Russian Federation,"$3,708,151.04",663 Players
2017,10.,Brazil,"$3,389,356.90",758 Players
2017,11.,Canada,"$2,956,873.70",581 Players
2017,12.,United Kingdom,"$2,947,116.94",680 Players
2017,13.,Ukraine,"$2,816,367.67",170 Players
2017,14.,Jordan,"$2,735,011.78",20 Players
2017,15.,Bulgaria,"$2,638,139.17",96 Players
2017,16.,Australia,"$2,583,868.04",602 Players
2017,17.,Lebanon,"$2,450,968.76",23 Players
2017,18.,Poland,"$2,397,861.80",609 Players
2017,19.,Philippines,"$2,270,139.79",169 Players
2017,20.,"Taiwan, Republic of China","$1,703,168.29",237 Players
2017,21.,Malaysia,"$1,125,729.13",173 Players
2017,22.,Netherlands,"$1,038,316.81",263 Players
2017,23.,Japan,"$908,844.45",245 Players
2017,24.,Viet Nam,"$883,883.63",342 Players
2017,25.,Thailand,"$839,933.53",321 Players
2017,26.,Norway,"$746,609.75",170 Players
2017,27.,Spain,"$655,530.53",337 Players
2017,28.,Kazakhstan,"$628,416.48",55 Players
2017,29.,Mexico,"$564,772.05",91 Players
2017,30.,Macao,"$560,661.66",3 Players
2017,31.,Turkey,"$498,586.08",155 Players
2017,32.,Italy,"$473,800.93",227 Players
2017,33.,Israel,"$472,916.17",50 Players
2017,34.,Estonia,"$461,646.45",71 Players
2017,35.,Slovakia,"$453,238.04",71 Players
2017,36.,Belarus,"$417,228.03",65 Players
2017,37.,Singapore,"$411,011.72",167 Players
2017,38.,Peru,"$402,148.78",103 Players
2017,39.,Bosnia and Herzegovina,"$335,652.36",11 Players
2017,40.,Czech Republic,"$295,633.46",138 Players
2017,41.,Belgium,"$282,227.20",117 Players
2017,42.,Pakistan,"$278,361.70",16 Players
2017,43.,Dominican Republic,"$270,184.87",5 Players
2017,44.,Hong Kong,"$249,062.25",90 Players
2017,45.,South Africa,"$246,525.58",182 Players
2017,46.,Croatia,"$235,237.93",56 Players
2017,47.,Chile,"$216,088.06",97 Players
2017,48.,Romania,"$215,696.97",73 Players
2017,49.,Indonesia,"$209,109.10",159 Players
2017,50.,Portugal,"$206,608.22",204 Players
2017,51.,Argentina,"$203,828.08",138 Players
2017,52.,Saudi Arabia,"$180,086.05",14 Players
2017,53.,New Zealand,"$177,418.30",75 Players
2017,54.,Austria,"$169,879.43",78 Players
2017,55.,Greece,"$166,332.70",98 Players
2017,56.,Serbia,"$165,224.49",78 Players
2017,57.,Ireland,"$127,507.22",30 Players
2017,58.,Hungary,"$121,661.50",93 Players
2017,59.,Switzerland,"$106,571.96",79 Players
2017,60.,Lithuania,"$91,130.25",74 Players
2017,61.,India,"$86,484.89",169 Players
2017,62.,North Macedonia,"$78,116.51",5 Players
2017,63.,Puerto Rico,"$77,141.17",17 Players
2017,64.,Slovenia,"$62,699.43",26 Players
2017,65.,Latvia,"$60,927.95",72 Players
2017,66.,Colombia,"$54,176.56",30 Players
2017,67.,United Arab Emirates,"$50,351.63",24 Players
2017,68.,Algeria,"$35,959.68",17 Players
2017,69.,Bahrain,"$33,195.00",2 Players
2017,70.,Mongolia,"$32,116.97",29 Players
2017,71.,Iraq,"$31,920.60",10 Players
2017,72.,Montenegro,"$27,550.00",2 Players
2017,73.,Uruguay,"$22,952.49",14 Players
2017,74.,Kuwait,"$19,250.07",24 Players
2017,75.,Kyrgyzstan,"$15,648.53",14 Players
2017,76.,"Moldova, Republic of","$14,823.32",7 Players
2017,77.,Iceland,"$14,681.24",27 Players
2017,78.,Armenia,"$13,960.05",4 Players
2017,79.,Morocco,"$13,488.70",13 Players
2017,80.,Venezuela,"$11,541.34",37 Players
2017,81.,Ecuador,"$10,263.49",5 Players
2017,82.,Malta,"$9,250.25",50 Players
2017,83.,Nicaragua,"$9,091.07",1 Player
2017,84.,Tunisia,"$7,215.41",12 Players
2017,85.,Egypt,"$6,748.68",12 Players
2017,86.,El Salvador,"$6,300.00",6 Players
2017,87.,Cambodia,"$5,468.82",6 Players
2017,88.,Panama,"$5,457.14",4 Players
2017,89.,Gibraltar,"$4,500.00",1 Player
2017,90.,Georgia,"$4,256.13",28 Players
2017,91.,Sri Lanka,"$3,663.40",16 Players
2017,92.,Uzbekistan,"$3,512.18",3 Players
2017,93.,Azerbaijan,"$3,136.66",7 Players
2017,94.,Guatemala,"$2,884.54",9 Players
2017,95.,Albania,"$2,868.16",2 Players
2017,96.,Bolivia,"$2,108.25",2 Players
2017,97.,Syrian Arab Republic,"$1,606.37",3 Players
2017,98.,Lao People's Democratic Republic,"$1,344.55",5 Players
2017,99.,Cuba,"$1,155.00",2 Players
2017,100.,Bangladesh,$935.65,10 Players
2017,101.,"Kosovo, Republic of",$834.33,1 Player
2017,102.,"Palestine, State of",$659.32,3 Players
2017,103.,Trinidad and Tobago,$594.75,1 Player
2017,104.,Kenya,$575.06,1 Player
2017,105.,Madagascar,$458.00,1 Player
2017,106.,"Iran, Islamic Republic of",$381.60,9 Players
2017,107.,Costa Rica,$309.65,2 Players
2017,108.,Åland Islands,$250.00,1 Player
2017,109.,Ethiopia,$139.99,1 Player
2017,110.,Andorra,$139.71,1 Player
2017,111.,Luxembourg,$130.65,3 Players
2017,112.,New Caledonia,$112.97,1 Player
2017,113.,Monaco,$112.50,1 Player
2017,114.,Paraguay,$112.50,1 Player
2017,115.,Bahamas,$66.00,1 Player
2017,116.,French Polynesia,$45.00,1 Player
2017,117.,Cyprus,$33.33,1 Player
2017,118.,Saint Kitts and Nevis,$20.00,1 Player
2017,119.,Faroe Islands,$11.55,1 Player
2018,1.,United States,"$30,161,872.39",4354 Players
2018,2.,China,"$22,013,250.96",1456 Players
2018,3.,"Korea, Republic of","$14,472,061.29",1273 Players
2018,4.,Denmark,"$10,607,480.33",432 Players
2018,5.,Finland,"$7,582,061.76",363 Players
2018,6.,Russian Federation,"$7,178,246.17",888 Players
2018,7.,France,"$6,504,608.16",1075 Players
2018,8.,Sweden,"$6,494,233.14",555 Players
2018,9.,Canada,"$5,193,837.56",774 Players
2018,10.,Germany,"$4,538,897.43",900 Players
2018,11.,Australia,"$4,257,200.79",781 Players
2018,12.,Brazil,"$3,702,642.77",813 Players
2018,13.,United Kingdom,"$3,284,611.26",867 Players
2018,14.,Poland,"$3,085,865.29",548 Players
2018,15.,Japan,"$2,835,890.33",360 Players
2018,16.,Ukraine,"$2,635,324.72",202 Players
2018,17.,Malaysia,"$2,482,681.23",284 Players
2018,18.,"Taiwan, Republic of China","$2,145,982.35",337 Players
2018,19.,Thailand,"$1,998,360.24",460 Players
2018,20.,Netherlands,"$1,971,249.26",341 Players
2018,21.,Philippines,"$1,655,767.28",256 Players
2018,22.,Bulgaria,"$1,368,281.44",99 Players
2018,23.,Turkey,"$1,264,935.22",207 Players
2018,24.,Jordan,"$1,142,317.52",12 Players
2018,25.,Norway,"$1,119,105.26",229 Players
2018,26.,Spain,"$1,085,795.24",429 Players
2018,27.,Israel,"$1,018,120.90",58 Players
2018,28.,Viet Nam,"$947,984.15",359 Players
2018,29.,Pakistan,"$896,217.07",66 Players
2018,30.,Indonesia,"$880,815.93",361 Players
2018,31.,Belgium,"$879,464.73",140 Players
2018,32.,Saudi Arabia,"$790,281.26",36 Players
2018,33.,Czech Republic,"$757,173.45",182 Players
2018,34.,Singapore,"$706,083.88",212 Players
2018,35.,Estonia,"$687,358.24",51 Players
2018,36.,Lebanon,"$683,522.30",25 Players
2018,37.,Italy,"$555,190.40",221 Players
2018,38.,Switzerland,"$506,368.06",122 Players
2018,39.,Mexico,"$496,262.78",131 Players
2018,40.,Slovakia,"$492,321.82",80 Players
2018,41.,Argentina,"$412,931.42",184 Players
2018,42.,Kazakhstan,"$381,054.49",68 Players
2018,43.,Greece,"$345,945.04",128 Players
2018,44.,Hungary,"$341,868.52",118 Players
2018,45.,Belarus,"$301,038.50",84 Players
2018,46.,Hong Kong,"$287,005.92",102 Players
2018,47.,Lithuania,"$271,395.49",80 Players
2018,48.,New Zealand,"$268,252.43",79 Players
2018,49.,Portugal,"$262,951.26",194 Players
2018,50.,South Africa,"$261,704.34",142 Players
2018,51.,Croatia,"$254,448.57",45 Players
2018,52.,Austria,"$251,573.81",182 Players
2018,53.,Bosnia and Herzegovina,"$232,758.45",12 Players
2018,54.,Latvia,"$225,604.77",94 Players
2018,55.,Romania,"$222,885.09",102 Players
2018,56.,Serbia,"$213,011.15",70 Players
2018,57.,Peru,"$202,527.19",108 Players
2018,58.,Ireland,"$187,334.96",60 Players
2018,59.,Macao,"$172,167.35",15 Players
2018,60.,Slovenia,"$156,428.49",31 Players
2018,61.,Chile,"$151,101.80",117 Players
2018,62.,India,"$144,575.13",124 Players
2018,63.,Gibraltar,"$119,304.51",1 Player
2018,64.,Colombia,"$99,811.06",41 Players
2018,65.,Dominican Republic,"$84,988.56",12 Players
2018,66.,United Arab Emirates,"$69,672.84",28 Players
2018,67.,"Moldova, Republic of","$64,777.79",7 Players
2018,68.,Armenia,"$64,710.02",17 Players
2018,69.,Puerto Rico,"$61,381.79",9 Players
2018,70.,Kyrgyzstan,"$54,299.99",26 Players
2018,71.,Malta,"$53,229.74",41 Players
2018,72.,Tunisia,"$49,346.16",19 Players
2018,73.,Mongolia,"$47,936.18",21 Players
2018,74.,Iceland,"$47,050.97",16 Players
2018,75.,"Palestine, State of","$38,889.50",4 Players
2018,76.,Kuwait,"$38,702.09",26 Players
2018,77.,Myanmar,"$36,767.84",73 Players
2018,78.,Uruguay,"$36,766.96",20 Players
2018,79.,North Macedonia,"$35,762.50",10 Players
2018,80.,Cuba,"$30,498.35",4 Players
2018,81.,Morocco,"$28,649.29",13 Players
2018,82.,Panama,"$27,085.00",7 Players
2018,83.,Venezuela,"$26,318.50",17 Players
2018,84.,Montenegro,"$23,742.98",3 Players
2018,85.,Ethiopia,"$22,796.63",1 Player
2018,86.,Algeria,"$19,249.31",14 Players
2018,87.,Egypt,"$15,794.49",16 Players
2018,88.,Ecuador,"$11,593.33",3 Players
2018,89.,Faroe Islands,"$9,070.05",20 Players
2018,90.,Bolivia,"$7,460.44",4 Players
2018,91.,Uzbekistan,"$7,430.59",5 Players
2018,92.,Lao People's Democratic Republic,"$7,305.66",28 Players
2018,93.,Azerbaijan,"$7,035.21",12 Players
2018,94.,Bahrain,"$5,867.82",3 Players
2018,95.,Syrian Arab Republic,"$5,810.26",5 Players
2018,96.,"Iran, Islamic Republic of","$5,596.50",23 Players
2018,97.,Iraq,"$5,358.82",9 Players
2018,98.,Mauritius,"$5,344.33",2 Players
2018,99.,Luxembourg,"$4,542.53",6 Players
2018,100.,Brunei Darussalam,"$4,217.33",25 Players
